shoeNumber	shoeName	url	corescore	user_rating	shoe_image	good_buy_bullets	bad_buy_bullets	bottom_line	amazonLink
843	New Balance Vazee Summit	https://runrepeat.com/new-balance-vazee-summit	85	4.4/5 from 15 users	https://cdn.runrepeat.com/i/new-balance/21326/new-balance-mt-vazee-summit-trail-d-ob-orange-grey-black-thunder-b5fc-600.jpg	<s>The Vazee Summit is a very comfortable shoe to run in, according to most reviews.</s><s>It is definitely worth its affordable price tag.</s><s>The shoe has decent flexibility and optimal protection, based on some comments.</s><s>It is a lightweight trainer that can take on various distances.</s><s>The mesh upper offers plenty of breathability with enough stopping power to prevent debris from getting in.</s><s>An outsole with multi-directional lugs and sticky rubber compound afford superior traction on a multitude of outdoor surfaces.</s>	<s>A few runners were disappointed with the upper durability.</s><s>Some reservations were given towards the 10mm offset, which some runners consider as too much for a lightweight trainer.</s><s>The thin and flat insole moved around when used for really long runs.</s><s>The lugs shake off mud naturally, observed a significant number of runners.</s>	New Balance introduces the new Vazee Summit as a do-it-all lightweight trainer that can handle all almost all types of distances and in different speeds. It has a nice mix of soft, but responsive cushioning through the RevLite midsole. Runners who love to do ultra-long runs will feel the sufficient arch support from this neutral trainer.	https://www.amazon.com/s?k=New+Balance+Vazee+Summit
844	Skechers GOmeb Speed 3	https://runrepeat.com/skechers-gomeb-speed	89	4.4/5 from 64 users	https://cdn.runrepeat.com/i/skechers/17902/skechers-gomeb-speed-3-black-green-mens-b0hq-ca3-600.jpg	<s>The newer DuPont Delrin stability plate provides rigidity to the mid-foot.</s><s>The construction is kept simple, with no added material, according to many testers.</s><s>Most testers noted that the forefoot is a little wider than the previous versions, making it great for many types of feet.</s><s>The foot is pinned closer to the mid-sole, which provide a snappier feel and an enhanced push off.</s><s>Great for speed works and track sessions.</s><s>An improved tongue consists of a thin fabric and thin foam for better comfort.</s><s>Roomier upfront yet snug fit is felt around the middle section, according to testers.</s>	<s>Some runners were hesitant to buy it because of its slightly expensive price.</s><s>Some runners found it a little too stiff.</s><s>It is more on the minimalist type and may need some transitions before using it for long runs.</s>	The Skechers GOmeb Speed 3 is lightweight and offers a little cushioning, which is good for neutral runners. Some of the materials used are just the same as the previous versions, yet this one was able to provide a better running performance. Although there were downsides like its high price and its stiffness, many testers found the features of this shoe worth the cost.	https://www.amazon.com/s?k=Skechers+GOmeb+Speed+3
845	Asics FuzeX Rush CM	https://runrepeat.com/asics-fuzex-rush-cm	81	4.1/5 from 75 users	https://cdn.runrepeat.com/i/asics/26310/asics-men-s-fuzex-rush-cm-running-shoes-phantom-phantom-hot-orange-10-5-medium-us-mens-phantom-phantom-hot-orange-f737-600.jpg	<s>The color schemes of the Asics FuzeX Rush CM gained some fans who stated that they were visually appealing.</s><s>The color-changing nature of the upper unit’s chameleon mesh received positive remarks.</s><s>The lightweight disposition of this product was lauded by most runners.</s><s>People have used this running shoe for various activities such as casual walks and even weightlifting.</s><s>As mentioned in some user reviews, the upper offers a good amount of comfort and breathability.</s>	<s>The forefoot section of the upper tore apart quickly, according to several consumers.</s><s>Some people considered the midsole foam to be too thin and incapable of providing adequate underfoot cushioning.</s><s>The toe box was deemed a bit tight, with some testers claiming that it caused some bruising on the toe-ends.</s><s>It was half-a-size smaller than what most runners expected.</s>	The Asics FuzeX Rush CM received mixed-to-positive reviews. Most runners agreed that this neutral shoe’s design was agreeable. They also appreciated its lightweight disposition and its versatile construction. But there were those who noticed a bevy of discrepancies which made the product less appealing. These inconsistencies in the design prevented it from becoming a go-to choice for those who desire form and function in a stylish package.	https://www.amazon.com/s?k=Asics+FuzeX+Rush+CM
846	Saucony Peregrine 7 ICE+	https://runrepeat.com/saucony-peregrine-7-ice	77	3.8/5 from 31 users	https://cdn.runrepeat.com/i/saucony/26327/saucony-men-s-peregrine-7-ice-running-shoes-blue-7-medium-us-mens-blue-6aee-600.jpg	<s>The upper material supplied sufficient warmth while running on wintry conditions, many runners observed.</s><s>One reviewer found that the outsole provided immediate traction.</s><s>The midsole brought adequate cushioning, wrote a commenter.</s><s>The grip of the outsole has significantly improved compared to other Saucony running shoes, a user remarked.</s><s>The shoe excelled on snow-covered trails and icy roads, according to an impressed runner.</s><s>A couple of reviewers thought the Peregrine 7 ICE+ was incredibly lightweight, considering it was a technology-packed trail shoe.</s><s>One user said that the chunky shoelaces made it easier to tie them even with gloves on.</s><s>The shoe kept the foot dry even while running on wet and icy surfaces, a customer mentioned.</s><s>Some wearers thought the shoe was comfortable even right out of the box.</s>	<s>A wearer observed that the Arctic Grip compound did not cover the entire outsole, and there was a bit of slipping during toe-off.</s>	Based on the amount of positive feedback it received, the Saucony Peregrine 7 ICE+ was able to amaze most its users. Many comments were about the effectiveness of its various technologies, while some commended the comfort and protection it gave. In summary, the majority of consumers found that the shoe delivered on its promises.	https://www.amazon.com/s?k=Saucony+Peregrine+7+ICE+
847	Asics DynaFlyte 3 Sound	https://runrepeat.com/asics-dynaflyte-3-sound	86	4.8/5 from 19 users	https://cdn.runrepeat.com/i/asics/30316/asics-men-s-dynaflyte-3-sound-hunter-green-10-d-hunter-green-b316-600.jpg	<s>Several testers stated that the underfoot experience felt like walking on a cloud.</s><s>People generally liked the aesthetics of the Asics DynaFlyte 3 Sound.</s><s>The comfortable in-shoe feel of this running shoe staved off any foot discomfort, some consumers claimed.</s><s>The lightweight nature of the materials was appreciated by many runners.</s><s>Some purchasers welcomed the durability of the DynaFlyte 3 Sound.</s>	<s>The DynaFlyte 3 Sound had a break-in period of a few days, a couple of consumers reported.</s>	The DynaFlyte 3 Sound was able to gain the trust of most of its testers. The neutral running shoe was perceived as a high-quality product that accommodated the foot and provided comfort. The aesthetics and quality were elements that were also praised. On the other hand, some people noted that the break-in period caused some initial discomfort.	https://www.amazon.com/s?k=Asics+DynaFlyte+3+Sound
848	Under Armour Highlight Delta 2	https://runrepeat.com/under-armour-highlight-delta-2	79	4.2/5 from 49 users	https://cdn.runrepeat.com/i/under-armour/22410/under-armour-highlight-delta-2-herren-sneaker-schwarz-schwarz-76b1-600.jpg	<s>Many users commended the minimal weight of the Under Armour Highlight Delta 2.</s><s>One reviewer thought the upper gave a customized</s><s>The collar was still very comfortable despite its high ankle cut, said a runner.</s><s>The shoe performed great on casual runs and brisk walks, a customer stated.</s><s>The Threadborne ankle support felt like a sock, according to a tester.</s><s>A purchaser was amazed at the outsole traction.</s>	<s>The heel cup was ineffective at keeping the foot from sliding, a user complained.</s><s>Many runners did not like that the Highlight Delta 2 ran big, with some saying it was carelessly made.</s><s>The midsole felt thinner and was not as bouncy compared to the previous version, several reviewers commented.</s><s>The upper looked flimsy and delicate, a buyer wrote.</s>	Although the Under Armour Highlight Delta 2 claims to be a non-bulky shoe, many users thought otherwise as they expressed disappointment with the shoe’s larger-than-actual sizing and the unnecessary space resulting from it. Some have also pointed out how it was a pale comparison to its predecessor. The redeeming quality of the shoe was its impressive comfort, but maybe it was not enough for consumers to think the Highlight Delta 2 is an excellent running shoe.	https://www.amazon.com/s?k=Under+Armour+Highlight+Delta+2
849	361 Degrees Chaser 2	https://runrepeat.com/361-degrees-chaser-2	89	4.8/5 from 6 users	https://cdn.runrepeat.com/i/361-degrees/27865/361-degree-chaser-2-men-shoe-jolt-blk-11-5-d-mens-black-95f6-600.jpg	<s>Those who have tried the 361 Degrees Chaser 2 described the shoe as `extremely comfortable`.</s><s>Some users lauded the versatility of this running shoe; they said the shoe is also reliable for walking and other sports activities.</s><s>Several runners lauded the overall design of the Chaser 2.</s><s>According to a few user reviews, the shoe offers a very comfortable fit.</s><s>A few buyers highlighted the shoe's durable construction.</s><s>Many users were satisfied with the shoe's considerable value for money.</s>	<s>A few users mentioned that the shoe is too stiff for their liking.</s>	Most users have shown satisfaction with the performance of the 361 Degrees Chaser 2. They admired the shoe's visually-appealing design, lightweight construction, and versatility. This road running shoe is designed for those who give importance to comfort and price. Overall, the Degrees Chaser 2 has been a successful update.	https://www.amazon.com/s?k=361+Degrees+Chaser+2
850	New Balance 910 v4	https://runrepeat.com/new-balance-910-v4	73	4.1/5 from 17 users	https://cdn.runrepeat.com/i/new-balance/24914/new-balance-910-v4-gunmetal-energy-lime-0752-600.jpg	<s>The outsole effortlessly gripped wet roots and rocks, expressed some reviewers.</s><s>The New Balance 910 v4 was a supportive trail shoe, according to a customer.</s><s>One runner claimed it was a comfortable shoe that easily enabled them to log more miles.</s><s>Another said it was lighter compared to other similar trail shoes.</s><s>A user was pleased that the shoe did not require a break-in period.</s><s>The beveled heel design helped the shoe feel nimble on technical trails, a reviewer praised.</s><s>Many runners commended the cushioning of the REVlite foam.</s>	<s>A user experienced a narrow fit with the 910 v4.</s><s>The shoe implemented zero toe protection despite the installed bumper, complained a buyer.</s><s>The sock liner was quite thin, a disappointed wearer said.</s><s>One reviewer cited that the rock plate made the shoe stiff and rigid.</s><s>Some commenters mentioned the 910 v4 was a heavy shoe.</s>	The New Balance 910 has successfully introduced a reliable runner with their fourth release, as users appreciated the shoe’s construction and performance. Meanwhile, some experienced fit and feel issues. However, despite the adverse claims it received, the 910 v4 has still emerged as a shoe with efficient features.	https://www.amazon.com/s?k=New+Balance+910+v4
851	Under Armour Freedom Assert 6	https://runrepeat.com/under-armour-freedom-assert-6	89	4.4/5 from 69 users	https://cdn.runrepeat.com/i/under-armour/26719/under-armour-women-s-freedom-assert-6-running-shoes-black-steel-6-b-m-us-womens-black-steel-1ac3-600.jpg	<s>The Freedom Assert 6 has helped improved running speed, a couple of commenters said.</s><s>The shoe provided a snug fit that was not too tight nor too loose, a tester mentioned.</s><s>One wearer said that the shoe gave a stable underfoot support that made it suitable even for weightlifting and boxing. A few others resonated by saying it has versatile uses.</s><s>The upper worked in preventing the foot get hot and sweaty, some runners observed.</s><s>Several users felt just the right amount of cushioning in the midsole.</s><s>Many wearers described the shoe as “comfortable” and “durable.”</s><s>The shoe’s minimal weight has pleased various customers.</s><s>The mesh liner worked efficiently in preventing sand and dirt from getting inside the shoe, stated a buyer.</s>	<s>The shoe runs a bit small, a few users noticed.</s>	The positive reviews for the Under Armour Freedom Assert 6 have greatly outnumbered the negative ones. Users who wore the shoe have shared their pleasant experiences because of its performance, ride, fit, and feel. Only a small percentage encountered an issue with sizing. As a conclusion, the Freedom Assert 6 has proven to be a successful release.	https://www.amazon.com/s?k=Under+Armour+Freedom+Assert+6
852	Reebok Runner 2.0 MT	https://runrepeat.com/reebok-runner-20-mt	88	4.4/5 from 142 users	https://cdn.runrepeat.com/i/reebok/26557/reebok-men-s-runner-2-0-mt-sneaker-alloy-black-ash-grey-white-6-uk-men-s-alloy-black-ash-grey-white-9fc0-600.jpg	<s>Several buyers commented that the Reebok Runner 2.0 MT was a shoe that is worth the price.</s><s>The cushioning was excellent, especially in the heel area, a couple of wearers stated.</s><s>Many buyers agreed that it was a comfortable shoe.</s><s>Every step was refreshing because of the memory foam in the sock liner, a customer said.</s><s>The shoe provided sufficient heel support, no matter how active the foot was, a reviewer shared.</s>	<s>One runner felt that the midsole’s shock-absorbing capability was not sufficient.</s><s>The shoe was too flexible and lacked stability, according to a wearer.</s><s>A customer said the toe box was short.</s><s>The shoe showed signs of wear early, mentioned a disappointed user.</s><s>There was not enough arch support from the midsole, a buyer complained.</s>	Although a considerable number, the positive feedback that surrounds the Reebok Runner 2.0 MT were mostly about the comfort and fit, and not much was said regarding its performance. Meanwhile, it is worth noting that the criticisms of the shoe were about structure and durability. In summary, the shoe might be a reliable option for light running, but runners should not expect much when it comes to extreme activities.	https://www.amazon.com/s?k=Reebok+Runner+2.0+MT
853	Zoot Diego	https://runrepeat.com/zoot-diego	81	4/5 from 23 users	https://cdn.runrepeat.com/i/zoot/18539/zoot-men-s-m-diego-running-shoe-solar-flare-pewter-zoot-red-7-m-us-mens-solar-flare-pewter-zoot-red-39e6-600.jpg	<s>The breathable mess and no-sew construction made the upper of the Zoot Diego impressive, according to some testers.</s><s>The internal reinforcement provides amazing fit and support with no added weight as noted in some reviews.</s><s>Many runners were satisfied by how durable the Diego is.</s><s>The Barefit internal liner technology offers a sock-like fit.</s><s>Most runners took note of the shoe’s Progressive Forward Roll that promotes smooth and plush ride.</s><s>This features a Z-Bound technology that saves runner’s energy, reducing fatigue and stress.</s>	<s>The Zoot Diego is a moderately high-priced running shoe.</s><s>Some runners observed that the Diego is not as comfortable as expected.</s><s>This shoe is a bit heavy as noted in some reviews.</s>	The Zoot Diego is running shoe that offers plenty of cushioning and impressive grip. This shoe got positive reviews regarding durability. This neutral running shoe performs best on the roads and a great daily training partner.	https://www.amazon.com/s?k=Zoot+Diego
